Paper,Community of Focus,Code,Citation
A8,Blind and/or Visual Impaired,Limited research on the theme,there are no studies that directly compare program comprehension by blind programmers to comprehension by sighted programmers
A61,Blind and/or Visual Impaired,Limited research on the theme,"in the real world, developers use multiple tools outside their IDEs like documentation, command-line interfaces, source code repositories, code review tools, etc. There is a lack of research into understanding and improving the accessibility of these tools"
A64,Blind and/or Visual Impaired,Limited research on the theme,"However, it is yet undetermined how such tools may be inaccessible for blind or low vision creators, and the extent that the tools themselves result in an inaccessible high-fidelity prototype."
A79,Blind and/or Visual Impaired,Limited research on the theme,"To address this gap in the literature, we explore accessibility issues that screen reader users face when learning and practicing web development, the workarounds or strategies they employ, and opportunities to design curricula and tools to better support blind web developers"
A136,Blind and/or Visual Impaired,Limited research on the theme,"Although some studies in the literature propose software solutions that enable access for visually impaired people to information present in UML models, it was not clear whether or not any of these solutions were really implemented and available for download. Also, we have not found studies that formally analysed the accessibility of UML modeling tools now being used in computer education programs and in industry"
A146,Blind and/or Visual Impaired,Limited research on the theme,"Accessibility and HCI research has primarily studied BVI developers’ as individual contributors, resulting in limited understanding about the accessibility of collaborative programming activities"
A214,Blind and/or Visual Impaired,Limited research on the theme,"Currently, the research that highlights difficulties faced by blind developers is limited."
A241,Blind and/or Visual Impaired,Limited research on the theme,"Even with prior research into the development of accessible enhancements to existing software development tools [5]–[7], we argue that there is insufficient research into the workplace practice of BVI programmers"
A64,Blind and/or Visual Impaired,Limited research on the theme,"Due to little research in this area, our work is initially focused on the operability of prototyping tools with screen readers."
A279,Blind and/or Visual Impaired,Limited research on the theme,relatively limited attention has been given to the needs of interface developers who use assistive technologies to support their work
A376,Motor/physical impairment,Limited research on the theme,Very few studies have been conducted on the natural language use of programming by voice and no robust system currently exists.
A379,Other - Deaf-Blind,Limited research on the theme,"Computing impacts almost every aspect of modern life. In this current wave of computing, designers strive for ubiquitous use across contexts, across platforms, and across users. Yet, there is still much to be explored in the area of accessible technologies for collaborative work."
A305,Motor/physical impairment,Limited research on the theme,current lack of understanding around the potential of alternative methods to support code navigation (to developers with physical impairments)
A380,Blind and/or Visual Impaired,Limited research on the theme,"A small body of work has begun to address accessibility of physical computing [7, 36, 52]. However, data visualization has not been a focus of these works."
A463,Blind and/or Visual Impaired,Limited research on the theme,There is a gap in the literature about the challenges programmers face in social contexts
A464,Neurodivergent,Limited research on the theme,"There is also little literature about that aspect. In the pilot study presented here,
we attempt to address the existing knowledge gap on neurodiverse software development teams, focusing on individuals diagnosed with ASD or ADHD"
A533,Neurodivergent,Limited research on the theme,"The Digital Economy, which refers to the economy based on digital computing technologies,10 is one of the fastest growing industries, but little is known about the people involved behind the scenes in this growth"
A463,Blind and/or Visual Impaired,Limited research on the theme,"The above collaborative activities have been extensively researched in the context of sighted programmers but remain understudied in mixed-ability contexts. Our study provides a more holistic view of the contextual work practices that develop in mixed-ability teams, revealing the interaction between programming tools, collaboration software, access technologies, and team members"
A463,Blind and/or Visual Impaired,Limited research on the theme,"Challenges in mixed-ability collaborative contexts remain understudied. This is a gap worth examining because of the social, academic, and professional implications it can have for programmers with visual impairments."
A464,Blind and/or Visual Impaired,Limited research on the theme,The above studies demonstrate the need to develop a situated understanding of technology use to uncover its social implications for solo and group work. Our research contributes to this growing body of work.
