Codigo;Author;Title;DOI;Venue;Year;"Community of Focus -
Blind or Visual Impaired";Community of Focus - d/Deaf or hard of hearing;Community of Focus - Motor or physical impairment;Community of Focus - Neurodivergent;Community of Focus - Intellectual or developmental disabilities;Community of Focus - General disability;Community of Focus - Other;Issue Addressed - Increase digital access/ease of use;Issue Addressed - Increase physical access;Issue Addressed - Increase understanding of users;Issue Addressed - Support communication;Issue Addressed - Support collaboration;Issue Addressed - Other;Issue Addressed - Other;Contribution Type - Empirical;Contribution Type - Artifact;Contribution Type - Methodological;Contribution Type - Theoretical;Contribution Type - Dataset;Contribution Type - Literature Review;Contribution Type - Opinion;Research Method - Controlled experiment;Research Method - Survey;Research Method - Usability testing;Research Method - Interviews;Research Method - Case Study;Research Method - Focus groups;Research Method - Field study;Research Method - Workshop / design;Research Method - Other;Participant Groups - Not Applicable;Participant Groups - Professionals with disabilities;Participant Groups - Professionals with disabilities - Qtd;Participant Groups - Professionals without disabilities;Participant Groups - Professionals without disabilities - Qtd;Participant Groups - Organizations;Participant Groups - Organizations - Qtd;Participant Groups - Support staff;Participant Groups - Support staff - Qtd;Participant Groups - Other;Participant Groups - Other - Qtd;Workplace - Not Mentioned;Workplace - Co-located;Workplace - Hybrid;Workplace - Full Remote;Workplace - Other;PwD as Co Author - Not Mentioned;PwD as Co Author - PwD as Co-Author
A250;Ian McChesney, Raymond Bond;Eye Tracking Analysis of Code Layout, Crowding and Dyslexia - An Open Data Set;https://doi.org/10.1145/3448018.3457420;Eye Tracking Research and Applications (ETRA);2021;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;14;Yes;16;No;;No;;No;;Yes;No;No;No;No;Yes;No
A269;Md Ehtesham-Ul-Haque, Syed Mostofa Monsur, Syed Masum Billah;Grid-Coding: An Accessible, Efficient, and Structured Coding Paradigm for Blind and Low-Vision Programmers;https://doi.org/10.1145/3526113.3545620;User Interface Software and Technology (UIST);2022;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;40;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A279;Kirk Norman, Yevgeniy Arber, and Ravi Kuber;How accessible is the process of web interface design?;https://doi.org/10.1145/2513383.2513385;ACM SIGACCESS Conference on Computers (ASSETS);2013;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;6;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A3;Kevin M Storer, Harini Sampath, M. Alice Alice Merrick;"""It’s Just Everything Outside of the IDE that’s the Problem"": Information Seeking by Software Developers with Visual Impairments";https://doi.org/10.1145/3411764.3445090;Conference on Human Factors in Computing Systems (CHI);2021;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;12;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A305;Bharat Paudyal, Chris Creed, Ian Williams, Maite Frutos-Pascual;Inclusive Multimodal Voice Interaction for Code Navigation;https://doi.org/10.1145/3536221.3556600;International Conference on Multimodal Interaction (ICMI);2022;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;19;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A312;Khaled Albusays, Stephanie Ludi, Matt Huenerfauth;Interviews and observation of blind software developers at work to understand code navigation challenges;https://doi.org/10.1145/3132525.3132550;ACM SIGACCESS Conference on Computers (ASSETS);2017;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes - Contextual Inquiry;No;Yes;28;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A375;"Jazette Johnson; Andrew Begel; Richard Ladner; Denae Ford";Program-L: Online Help Seeking Behaviors by Blind and Low Vision Programmers;https://doi.org/10.1109/VL/HCC53370.2022.9833106;IEEE Symposium on Visual Languages and Human Centric Computing (VL/HCC);2022;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes - Data Minning;Yes;No;;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A376;Sadia Nowrin and Keith Vertanen;Programming by Voice: Exploring User Preferences and Speaking Styles;https://doi.org/10.1145/3571884.3597130;Conversational User Interfaces (CUI);2023;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;;Yes;24;No;;No;;No;;Yes;No;No;No;No;Yes;No
A379;Abigail Tan, Michael Robin, Craig Williams, LouAnne Boyd;Prototyping accessible work systems with a deaf-blind employee;https://doi.org/10.1145/3334480.3382859;Conference on Human Factors in Computing Systems (CHI);2020;No;No;No;No;No;No;Yes - blind-deaf;Yes;Yes;Yes;Yes;Yes;;No - sent to collaboration- Increase Communication;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes - Contextual Inquiry;No;Yes;1;Yes;64;Yes;1;Yes;1;No;;No;Yes;No;No;No;No;Yes
A380;Venkatesh Potluri, John Thompson, James Devine, Bongshin Lee, Nora Morsi, Peli De Halleux, Steve Hodges, and Jennifer Mankoff;PSST: Enabling Blind or Visually Impaired Developers to Author Sonifications of Streaming Sensor Data. In Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology (UIST '22). Association for Computing Machinery, New York, NY, USA, Article 46, 1–13. https://doi.org/10.1145/3526113.3545700;https://doi.org/10.1145/3526113.3545700;User Interface Software and Technology (UIST);2022;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;2;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A409;"Catherine M. Baker; Lauren R. Milne; Richard E. Ladner";Struct jumper: A tool to help blind programmers navigate and understand the structure of code;https://doi.org/10.1145/2702123.2702589;Conference on Human Factors in Computing Systems (CHI);2015;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;7;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A429;Filipe Del Nero Grillo, Renata Pontin de Mattos Fortes;Tests with blind programmers using AWMo: An accessible web modeling tool;https://doi.org/10.1007/978-3-319-07437-5_11;Universal Access in Human-Computer Interaction (UAHCI);2014;Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;No;;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;Yes;2;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A463;"Maulishree Pandey; Vaishnav Kameswaran; Hrishikesh V. Rao; Sile O'Modhrain; Steve Oney";Understanding Accessibility and Collaboration in Programming for People with Visual Impairments. Proc. ACM Hum.-Comput. Interact. 5, CSCW1, Article 129 (April 2021), 30 pages. https://doi.org/10.1145/3449203;https://doi.org/10.1145/3449203;Proceedings of the ACM on Human Computer Interaction (PACMHCI);2021;Yes;No;No;No;No;No;No;No;No;Yes;No;Yes;;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;23;No;;No;;No;;No;;No;Yes;No;Yes;No;Yes;No
A464;"Kiev Gama; Aline Lacerda";Understanding and Supporting Neurodiverse Software Developers in Agile Teams;https://doi.org/10.1145/3613372.3613384;Brazilian Symposium on Software Engineering (SBES);2023;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes - Literature Review;No;Yes;4;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A478;"Anderson Mateus da Silva; Suzana C. B. Sampaio; Marcelo L.M. Marinho";Using Software Engineering and Agile Methods to Improve Inclusion and Team Diversity;https://doi.org/10.1145/3439961.3439986;Brazilian Symposium on Software Quality (SBQS);2020;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;3;No;;Yes;2;No;;No;;No;Yes;No;Yes;No;Yes;No
A520;Emma Costello, Sara Kilbride, Zoe Milne, Paul Clarke, Murat Yilmaz, Silvana Togneri MacMahon;A Professional Career with Autism: Findings from a Literature Review in the Software Engineering Domain;https://doi.org/10.1007/978-3-030-85521-5_23;Communications in Computer and Information Science;2021;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes - Literature Review;Yes;No;;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A533;Jenny I. Krutzinna & Luciano Floridi;Atypical employment and disability in the digital economy: Accountability gap leaves disabled app developers’ rights unprotected;https://doi.org/10.1080/17579961.2018.1527476;Law, Innovation and Technology;2018;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No - Opinion;Yes;No;;No;;No;;No;;No;;No;No;No;Yes;No;Yes;No
A543;Igor Poncell, Kiev Gama;Diversity and Inclusion Initiatives in Brazilian Software Development Companies: Comparing the Perspectives of Managers and Developers;https://doi.org/10.1145/3555228.3555267;Brazilian Symposium on Software Engineering (SBES);2022;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;2;No;;Yes;3;No;;Yes - Underrepresented Groups Professionals (LGBT+, black, woman);15;Yes;No;No;No;No;Yes;No
A560;Ian McChesney and Raymond Bond;Observations on the Linear Order of Program Code Reading Patterns in Programmers with Dyslexia;https://doi.org/10.1145/3383219.3383228;International Conference on Evaluation and Assessment in Software Engineering (EASE);2020;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;14;Yes;14;No;;No;;No;;Yes;No;No;No;No;Yes;No
A577;"Meredith Ringel Morris; Andrew Begel; Ben Wiedermann";Understanding the challenges faced by neurodiverse software engineering employees: Towards a more inclusive and productive technical workforce;https://doi.org/10.1145/2700648.2809841;ACM SIGACCESS Conference on Computers (ASSETS);2015;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Yes;69;Yes;781;No;;No;;No;;No;Yes;No;No;No;Yes;No
A579;"Avelino Ferreira Gomes Filho; Rodrigo De Toledo";Visual Management and Blind Software Developers;http://doi.org/10.1109/Agile.2015.14;Agile Conference;2015;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes - Action Research;No;Yes;1;Yes;11;No;;No;;No;;No;Yes;No;No;No;Yes;No
A61;Harini Sampath, Alice Merrick, Andrew Macvean;Accessibility of Command Line Interfaces;https://doi.org/10.1145/3411764.3445544;Conference on Human Factors in Computing Systems (CHI);2021;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;11;Yes;1;No;;No;;No;;Yes;No;No;No;No;Yes;No
A64;Junchen Li, Garreth W. Tigwell, and Kristen Shinohara. 2021. Accessibility of High-Fidelity Prototyping Tools. In Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems (CHI '21). Association for Computing Machinery, New York, NY, USA, Article 493, 1–17. https://doi.org/10.1145/3411764.3445520;Accessibility of High-Fidelity Prototyping Tools. In Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems (CHI '21). Association for Computing Machinery, New York, NY, USA, Article 493, 1–17. https://doi.org/10.1145/3411764.3445520;https://doi.org/10.1145/3411764.3445520;Conference on Human Factors in Computing Systems (CHI);2021;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;Yes;1;No;;No;;No;;Yes;No;No;No;No;No;No
A65;"Maulishree Pandey; Sharvari Bondre; Sile O’Modhrain; Steve Oney";Accessibility of UI Frameworks and Libraries for Programmers with Visual Impairments;https://doi.org/10.1109/VL/HCC53370.2022.9833098;IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC);2022;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;Yes - Data Minning;No;Yes;18;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A74;Emmanuel Schanzer, Sina Bahram, and Shriram Krishnamurthi. 2019. Accessible AST-Based Programming for Visually-Impaired Programmers. In Proceedings of the 50th ACM Technical Symposium on Computer Science Education (SIGCSE '19). Association for Computing Machinery, New York, NY, USA, 773–779. https://doi.org/10.1145/3287324.3287499;Accessible AST-Based Programming for Visually-Impaired Programmers. In Proceedings of the 50th ACM Technical Symposium on Computer Science Education (SIGCSE '19). Association for Computing Machinery, New York, NY, USA, 773–779. https://doi.org/10.1145/3287324.3287499;https://doi.org/10.1145/3287324.3287499;Computer Science Education (SIGCSE);2019;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;13;No;;No;;No;;No;;Yes;No;No;No;No;No;Yes
A76;Aboubakar Mountapmbeme, Obianuju Okafor, and Stephanie Ludi. 2022. Accessible Blockly: An Accessible Block-Based Programming Library for People with Visual Impairments. In Proceedings of the 24th International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS '22). Association for Computing Machinery, New York, NY, USA, Article 19, 1–15. https://doi.org/10.1145/3517428.3544806;Accessible Blockly: An Accessible Block-Based Programming Library for People with Visual Impairments. In Proceedings of the 24th International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS '22). Association for Computing Machinery, New York, NY, USA, Article 19, 1–15. https://doi.org/10.1145/3517428.3544806;https://doi.org/10.1145/3517428.3544806;ACM SIGACCESS Conference on Computers (ASSETS);2022;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;12;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A79;Claire Kearney-Volpe, Amy Hurst;Accessible Web Development: Opportunities to Improve the Education and Practice of web Development with a Screen Reader;https://doi.org/10.1145/3458024;ACM Transactions on Accessible Computing (TACCESS);2021;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;Yes - Literature Review;No;Yes;12;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A8;Ameer Armaly, Paige Rodeghero, Collin McMillan;A comparison of program comprehension strategies by blind and sighted programmers;https://doi.org/10.1109/TSE.2017.2729548;IEEE Transactions on Software Engineering;2018;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;12;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
A87;Aboubakar Mountapmbeme, Obianuju Okafor, Stephanie Ludi;Addressing Accessibility Barriers in Programming for People with Visual Impairments: A Literature Review;https://doi.org/10.1145/3507469;ACM Transactions on Accessible Computing (TACCESS);2022;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes - Literature Review;Yes;No;;No;;No;;No;;No;;Yes;No;No;No;No;Yes;No
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
